name,formatted_address,lat,lng,website,phone_national,phone_international,types,place_id,resource_name,google_maps_uri,included_type,source_keyword
7-Eleven สาขาถนนเทศปฐม (13445),52 ถนน สฤษดิ์วงค์ ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0230562,101.9640453,http://www.7eleven.co.th/,,,convenience_store|food_store|food|point_of_interest|store|establishment,ChIJb8bDWH8btDERjM4hU1LZGY0,places/ChIJb8bDWH8btDERjM4hU1LZGY0,https://maps.google.com/?cid=10167396581370875532&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา ถนนจำรูญนรา (02483),CRPF+2GF Unnamed Road ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4350723,101.82380719999999,http://www.7eleven.co.th/,1800 226 671,+66 1800 226 671,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJ1V2Ng97xszERhh0YYpcOfi0,places/ChIJ1V2Ng97xszERhh0YYpcOfi0,https://maps.google.com/?cid=3278073622120897926&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา สายบุรี (08884),PJ39+GC7 ตำบล ตะลุบัน อำเภอ สายบุรี ปัตตานี 94110 ประเทศไทย,6.703791300000001,101.61853789999999,http://www.7eleven.co.th/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJW20_Vla5szER77TJrJx-gag,places/ChIJW20_Vla5szER77TJrJx-gag,https://maps.google.com/?cid=12142125281746466031&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven,"Lot 2539, Jalan Salor, Kampung Seberang Pasir Mas, Salor, 15100 Kota Bharu, Kelantan, มาเลเซีย",6.034388799999999,102.15329860000001,http://www.7eleven.com.my/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJEyD63aKmtjERA6l9T5H8498,places/ChIJEyD63aKmtjERA6l9T5H8498,https://maps.google.com/?cid=16133015991205341443&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา โคกเคียน 1 (09046),CRX5+CPG ตำบล โคกเคียน อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.448563200000001,101.8093135,https://www.7eleven.co.th/,,,convenience_store|point_of_interest|food_store|food|store|establishment,ChIJd2XaLAXuszERVkGzfpMN718,places/ChIJd2XaLAXuszERVkGzfpMN718,https://maps.google.com/?cid=6912758880174031190&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven,ตำบล เจ๊ะเห อำเภอ ตากใบ นราธิวาส 96110 ประเทศไทย,6.240096299999999,102.0805578,https://www.7eleven.co.th/,,,convenience_store|food_store|food|point_of_interest|store|establishment,ChIJ2cLAM5qqtjERjSOSoURdWmM,places/ChIJ2cLAM5qqtjERjSOSoURdWmM,https://maps.google.com/?cid=7159137107008693133&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา ยะกัง (14849),CR5F+R9V ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.4096046,101.8234264,https://www.7eleven.co.th/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJVaXHIKDxszER5sG9aIbjQXE,places/ChIJVaXHIKDxszER5sG9aIbjQXE,https://maps.google.com/?cid=8161054166194438630&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา เจริญเขต (08853),2X98+7H8 ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.018172799999999,101.9664579,https://www.7eleven.co.th/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJGwcxBWMZtDERCnjvpc_6hyw,places/ChIJGwcxBWMZtDERCnjvpc_6hyw,https://maps.google.com/?cid=3208809029273876490&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา แว้ง (09590),WVHJ+5H3 ตำบล แว้ง อำเภอ แว้ง นราธิวาส 96160 ประเทศไทย,5.927888299999999,101.8814084,https://www.7eleven.co.th/,,,convenience_store|food_store|food|point_of_interest|store|establishment,ChIJjaD7L049tDERPnHwPx_PWks,places/ChIJjaD7L049tDERPnHwPx_PWks,https://maps.google.com/?cid=5429880033872212286&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา PTTOR ยางไทยใต้ (04263),CQ5W+72J ตำบล ลำภู อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.408209599999999,101.7950276,http://www.7eleven.co.th/,02 711 7744,+66 2 711 7744,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJz_ITiijyszERBbu7jUSVjY4,places/ChIJz_ITiijyszERBbu7jUSVjY4,https://maps.google.com/?cid=10272030446770174725&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา พิชิตบำรุง (08637),CRJF+35C ถ. พิชิตบำรุง ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.430186099999999,101.8228779,https://www.7eleven.co.th/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJp4urOt3xszERMVVRxBKNo54,places/ChIJp4urOt3xszERMVVRxBKNo54,https://maps.google.com/?cid=11431135390939043121&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา ถนนสฤษดิ์วงค์ (02484),85 ถนน สฤษดิ์วงค์ ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.02032,101.9650645,https://www.7eleven.co.th/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJgwSBmXsbtDER7ZKOHavfV-4,places/ChIJgwSBmXsbtDER7ZKOHavfV-4,https://maps.google.com/?cid=17174441630028960493&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา บาเจาะ (10208),GM73+RPJ ตำบล บาเจาะ อำเภอ บาเจาะ นราธิวาส 96170 ประเทศไทย,6.5145934,101.65425859999999,https://www.7eleven.co.th/,02 711 7744,+66 2 711 7744,convenience_store|grocery_store|food_store|food|point_of_interest|store|establishment,ChIJNU7vn5uTszERKwrk4DzG3VU,places/ChIJNU7vn5uTszERKwrk4DzG3VU,https://maps.google.com/?cid=6187319427850308139&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven,"30-D, Jalan Tengku Ahmad, Pekan Pasir Mas, 17000 Pasir Mas, Kelantan, มาเลเซีย",6.043768600000001,102.1441705,http://www.7eleven.com.my/,017-948 2646,+60 17-948 2646,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJdYdjcI2mtjERJcxR5N-mV8E,places/ChIJdYdjcI2mtjERJcxR5N-mV8E,https://maps.google.com/?cid=13931787452832402469&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven ดุซงญอ,5PC5+6WX 4115 ตำบล ดุซงญอ อำเภอ จะแนะ นราธิวาส 96220 ประเทศไทย,6.1706156,101.7098584,https://www.7eleven.co.th/,,,convenience_store|food_store|food|point_of_interest|store|establishment,ChIJ81HXsm4NtDERgsXbZp7il7c,places/ChIJ81HXsm4NtDERgsXbZp7il7c,https://maps.google.com/?cid=13229291600382510466&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา บายพาส (13384),CRG9+79V ตำบล บางนาค อำเภอเมืองนราธิวาส นราธิวาส 96000 ประเทศไทย,6.425743799999999,101.8184119,https://www.7eleven.co.th/,,,convenience_store|point_of_interest|food_store|food|store|establishment,ChIJEyREDIHxszER_gHM0dvc7bc,places/ChIJEyREDIHxszER_gHM0dvc7bc,https://maps.google.com/?cid=13253492115096994302&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา ประชาวิวัฒน์ ซอย 2 (07578),2X97+QFP ตำบล สุไหงโก-ลก อำเภอ สุไหงโก-ลก นราธิวาส 96120 ประเทศไทย,6.0194658,101.9637113,https://www.7eleven.co.th/,,,convenience_store|point_of_interest|food_store|food|store|establishment,ChIJPRGCC88ZtDER7Ti6qVazRhU,places/ChIJPRGCC88ZtDER7Ti6qVazRhU,https://maps.google.com/?cid=1533109907962345709&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven สาขา ยี่งอ (09680),CP34+W2G ตำบล ยี่งอ อำเภอ ยี่งอ นราธิวาส 96180 ประเทศไทย,6.4048131999999995,101.7050853,https://www.7eleven.co.th/,,,convenience_store|food_store|food|point_of_interest|store|establishment,ChIJvd5beqGNszERKN78Ptb8eEs,places/ChIJvd5beqGNszERKN78Ptb8eEs,https://maps.google.com/?cid=5438374547159834152&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven,"Pt 2184 (Gf), Taman Sri Bayu, Jalan Lebuhraya, 17200, Rantau Panjang, Kelantan, Kampung Rantau Panjang, 17200 Rantau Panjang, Kelantan, มาเลเซีย",6.0172509,101.9805617,http://www.7eleven.com/,09-795 1711,+60 9-795 1711,convenience_store|food_store|food|point_of_interest|store|establishment,ChIJj9idNlUZtDER0wyLe8Ln16I,places/ChIJj9idNlUZtDER0wyLe8Ln16I,https://maps.google.com/?cid=11734102176619498707&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
7-Eleven,"Bandar Baru Pasir Mas, 17200 Pasir Mas, Kelantan, มาเลเซีย",6.0056733,102.09583939999999,https://www.7eleven.com.my/,,,convenience_store|food_store|point_of_interest|store|food|establishment,ChIJh41768egtjERIddrPSMQqQQ,places/ChIJh41768egtjERIddrPSMQqQQ,https://maps.google.com/?cid=335817390756189985&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA,,seven_eleven
